date,venue_code,found,rooms_available,rooms_occupied,room_revenue,state,hotelSearchesMX,is_holiday,hocc,hotelSearches,dayofweek,day,month,venue_encode,occ
7/24/2019,BJXCR,True,155,68,123559.56,Guanajuato,0.98,0,0,0.88,2,24,7,0,0.438709677
7/25/2019,BJXCR,True,155,69,119837.71,Guanajuato,0.92,0,0,0.5,3,25,7,0,0.44516129
7/26/2019,BJXCR,True,155,97,209726.55,Guanajuato,0.94,0,0,0.66,4,26,7,0,0.625806452
7/27/2019,BJXCR,True,155,110,229162.16,Guanajuato,0.94,0,0,0.6,5,27,7,0,0.709677419
7/28/2019,BJXCR,True,155,86,171258.54,Guanajuato,0.92,0,0,0.56,6,28,7,0,0.55483871
7/29/2019,BJXCR,True,155,68,132865.65,Guanajuato,0.93,0,0,0.71,0,29,7,0,0.438709677
7/30/2019,BJXCR,True,155,37,63012.96,Guanajuato,0.98,0,0,0.48,1,30,7,0,0.238709677
7/31/2019,BJXCR,True,155,36,64518.34,Guanajuato,0.98,0,0,0.74,2,31,7,0,0.232258065
8/1/2019,BJXCR,True,155,31,54484.44,Guanajuato,0.77,0,0,0.41,3,1,8,0,0.2
8/2/2019,BJXCR,True,155,36,75046.35,Guanajuato,0.79,0,0,0.39,4,2,8,0,0.232258065
8/3/2019,BJXCR,True,155,59,123907.69,Guanajuato,0.77,0,0,0.44,5,3,8,0,0.380645161
8/4/2019,BJXCR,True,155,20,29668.76,Guanajuato,0.82,0,0,0.3,6,4,8,0,0.129032258
8/5/2019,BJXCR,True,155,41,56864.64,Guanajuato,0.84,0,0,0.6,0,5,8,0,0.264516129
8/6/2019,BJXCR,True,155,29,40414.56,Guanajuato,0.87,0,0,0.5,1,6,8,0,0.187096774
8/7/2019,BJXCR,True,155,27,40488.67,Guanajuato,0.82,0,0,0.68,2,7,8,0,0.174193548
8/8/2019,BJXCR,True,155,26,41875.56,Guanajuato,0.86,0,0,0.65,3,8,8,0,0.167741935
8/9/2019,BJXCR,True,155,48,95896.24,Guanajuato,0.88,0,0,0.73,4,9,8,0,0.309677419
8/10/2019,BJXCR,True,155,86,172541.74,Guanajuato,0.89,0,0,0.66,5,10,8,0,0.55483871
8/11/2019,BJXCR,True,155,28,55592.72,Guanajuato,0.88,0,0,0.56,6,11,8,0,0.180645161
8/12/2019,BJXCR,True,155,19,39410.27,Guanajuato,0.9,0,0,0.52,0,12,8,0,0.122580645
8/13/2019,BJXCR,True,155,39,62684.39,Guanajuato,0.92,0,0,0.86,1,13,8,0,0.251612903
